,cnpj,inscrição estadual - cce ,nome empresarial,contribuinte?,atividade econômica,situação cadastral vigente,data desta situação cadastral,data de cadastramento,inscrição estadual,contribuinte
0,53654877000162,10.274.192-1,tintas viwalux industria e comercio ltda,sim,"2071100 - fabricação de tintas, vernizes, esmaltes e lacas | atividade principal",baixado - não habilitado,2003-08-22,1995-06-16,NULL,NULL
1,15127491000103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,19628742000194,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,606375000108,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,2409463000137,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,3094213000118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,819673000178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,17352113000159,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,61666533000100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,92758457000188,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,11502978000178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,6125127000113,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,1243305000197,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,10794212000141,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,3091047000104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,82911645000140,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,43306026000175,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,7621187000190,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,60892437000109,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,61585873000289,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,49368889000153,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,625722000131,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,57613051000106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,4242005000181,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,6653454000148,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,82981853000116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,6690317000183,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,4658888000105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,7903911000178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,988777000106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,9382549000162,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,25100223000151,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,4809777000152,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
